category,district,constituency,candidate_name,party,votes,total_votes,share_votes,unopposed
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,MASABA KARIM,INDEPENDENT,15881,33349,0.476206183,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,WEKESA JOHN WAMBOGO,NRM,8822,33349,0.264535666,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,MUTENYO AUGUSTINE NABWIRA,INDEPENDENT,2481,33349,0.074395031,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,NABENDE ISAAC WALERA,FDC,1984,33349,0.05949204,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,MADOI YASSIN,NUP,1790,33349,0.053674772,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,NAMBAFU GEOFFREY,INDEPENDENT,1272,33349,0.038142074,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,MUSAMALI MARTIN,INDEPENDENT,772,33349,0.02314912,0
Directly Elected MP,MBALE CITY,INDUSTRIAL DIVISION,MUSAALO MICHEAL,ANT,347,33349,0.010405109,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,WAMBEDE SETH KIZANGI MASSA,NRM,9854,42228,0.233352274,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,MASABA IVAN,NUP,9413,42228,0.222908974,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,SIZOMU GERSHOM RABBI WAMBEDE,INDEPENDENT,7529,42228,0.178294018,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,NANGOLI UMAR,INDEPENDENT,4836,42228,0.114521168,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,WANYOTO PAUL MUGOYA,FDC,4135,42228,0.097920813,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,MASHATE PETER MAGOMU,INDEPENDENT,4027,42228,0.095363267,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,ARYAMPA JACKSON,INDEPENDENT,1052,42228,0.02491238,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,MAGALA MAFABI IMANI,INDEPENDENT,686,42228,0.016245145,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,WEBISA DENIS,INDEPENDENT,535,42228,0.012669319,0
Directly Elected MP,MBALE CITY,NORTHERN DIVISION,WANDERA MOHAMED,ANT,161,42228,0.003812636,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,BATARINGAYA BASIL RWANKWENE,NRM,13995,23819,0.587556124,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,YAGUMA WILBERFORCE RUTASHOKWA,INDEPENDENT,7018,23819,0.294638723,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,MWESIGYE FRED,INDEPENDENT,1248,23819,0.052395146,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,KARUHANGA INNOCENT KABWISHO,INDEPENDENT,1029,23819,0.043200806,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,MUHAME DAVID,INDEPENDENT,304,23819,0.01276292,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,AGABA ELISA,INDEPENDENT,164,23819,0.00688526,0
Directly Elected MP,MBARARA,KASHARI NORTH COUNTY,ATUHAIRWE ROBERT,INDEPENDENT,61,23819,0.002560981,0
Directly Elected MP,MBARARA,KASHARI SOUTH COUNTY,TWESIGYE NATHAN ITUNGO,INDEPENDENT,10252,24769,0.413904488,0
Directly Elected MP,MBARARA,KASHARI SOUTH COUNTY,MWEBEMBEZI ABEL,NRM,8593,24769,0.346925586,0
Directly Elected MP,MBARARA,KASHARI SOUTH COUNTY,KAZOORA JOHN BASHAIJA,INDEPENDENT,4750,24769,0.191771969,0
Directly Elected MP,MBARARA,KASHARI SOUTH COUNTY,NUWAGIRA DANIEL,ANT,588,24769,0.023739351,0
Directly Elected MP,MBARARA,KASHARI SOUTH COUNTY,ARINAITWE KAREGYEYA ARTHUR,INDEPENDENT,432,24769,0.017441155,0
Directly Elected MP,MBARARA,KASHARI SOUTH COUNTY,TWINOMUJUNI IVAN,FDC,154,24769,0.006217449,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,MWESIGWA ROBERT RUKAARI,NRM,9004,19405,0.464004129,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,TUMUSIIME APOLLO RUTAABA,INDEPENDENT,3234,19405,0.166658074,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,KAJUBI BENON MAISHO,INDEPENDENT,3212,19405,0.165524349,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,AKORAGYE EDWIN BARYAH,INDEPENDENT,1265,19405,0.065189384,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,MUKALAZI DEUS MUBIRU,NUP,1074,19405,0.05534656,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,AGABA ANTHONY,FDC,964,19405,0.04967792,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,MUGISHA OTATIINA CELESTIN,ANT,300,19405,0.015459933,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,NASASIRA HAPPY,INDEPENDENT,217,19405,0.011182684,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,AHEREZA TITUS,INDEPENDENT,90,19405,0.00463798,0
Directly Elected MP,MBARARA CITY,MBARARA NORTH DIVISION,BWENGYE DEUSDEDIT,INDEPENDENT,45,19405,0.00231899,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,MWINE MPAKA RWAMIRAMA,NRM,15770,31609,0.49890855,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,MBAREEBAKI EMMY,INDEPENDENT,11269,31609,0.356512398,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,MUHUMUZA BRIGHT,NUP,2250,31609,0.071182258,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,RUTAHABA NICODEMUS KASHAIJA,FDC,999,31609,0.031604923,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,NAMBAALE MUZAFARU,INDEPENDENT,491,31609,0.015533551,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,MANZI MUNANURA,INDEPENDENT,267,31609,0.008446962,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,SEKAMATE NASWIRU NESTROY TAUBA,ANT,255,31609,0.008067323,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,SEKITTO UMARU HAGGAI,INDEPENDENT,167,31609,0.005283305,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,TIBEZAARA FRANCIS RWABUTEERA,INDEPENDENT,91,31609,0.002878927,0
Directly Elected MP,MBARARA CITY,MBARARA SOUTH DIVISION,TUSIIME JACKSON,INDEPENDENT,50,31609,0.001581828,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,OTAFIIRE KAHINDA,NRM,14918,22607,0.659884095,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,YEKWATSE ALEX,INDEPENDENT,5746,22607,0.254169077,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,TWETEGIRE BENEDICT,INDEPENDENT,1377,22607,0.060910337,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,AKAMPA AUDREY,FDC,264,22607,0.011677799,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,TAYEBWA ISACK,INDEPENDENT,216,22607,0.009554563,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,KAHEMBA BABI SPERATO,ANT,61,22607,0.002698279,0
Directly Elected MP,MITOOMA,RUHINDA COUNTY,TUGUME INNOCENT,INDEPENDENT,25,22607,0.001105852,0
Directly Elected MP,MITOOMA,RUHINDA NORTH COUNTY,TAYEBWA THOMAS,NRM,18341,22128,0.828859389,0
Directly Elected MP,MITOOMA,RUHINDA NORTH COUNTY,TWIMUKYE MOSES,INDEPENDENT,2297,22128,0.103805132,0
Directly Elected MP,MITOOMA,RUHINDA NORTH COUNTY,ATUHAMIZE YORAM,ANT,569,22128,0.025714027,0
Directly Elected MP,MITOOMA,RUHINDA NORTH COUNTY,NUWAHEREZA NELSON,FDC,545,22128,0.024629429,0
Directly Elected MP,MITOOMA,RUHINDA NORTH COUNTY,KAPERE NATHAN BURGESS,INDEPENDENT,376,22128,0.016992046,0
Directly Elected MP,MITOOMA,RUHINDA SOUTH COUNTY,MUGABE DONONZIO KAHONDA,NRM,16551,21042,0.786569715,0
Directly Elected MP,MITOOMA,RUHINDA SOUTH COUNTY,ATUHWEREIRE ARTHUR KAZOORA,INDEPENDENT,3337,21042,0.15858759,0
Directly Elected MP,MITOOMA,RUHINDA SOUTH COUNTY,ATWIINE VICTOR,FDC,765,21042,0.036355861,0
Directly Elected MP,MITOOMA,RUHINDA SOUTH COUNTY,BYARUHANGA DIDAS KAGINDA,INDEPENDENT,389,21042,0.018486835,0
Directly Elected MP,MITYANA,BUSUJJU COUNTY,LUKYAMUZI DAVID KALWANGA,NUP,19174,29577,0.648274004,0
Directly Elected MP,MITYANA,BUSUJJU COUNTY,NYANZI VINCENT MAKUMBI,NRM,10198,29577,0.344794929,0
Directly Elected MP,MITYANA,BUSUJJU COUNTY,KATO GODFREY,INDEPENDENT,133,29577,0.004496737,0
Directly Elected MP,MITYANA,BUSUJJU COUNTY,MUGAMBWA ROBERT,DP,72,29577,0.002434324,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,NSEGUMIRE MUHAMAD KIBEDI,NRM,13784,29479,0.467587084,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,SEMATIKO GORDON KATENDE,NUP,13557,29479,0.4598867,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,KINTU FREDDIE GRACE,INDEPENDENT,551,29479,0.018691272,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,SHINGIRO DIDAS KAYONGA,INDEPENDENT,488,29479,0.016554156,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,MUTYABA BYRON,INDEPENDENT,406,29479,0.013772516,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,KASULE ONESIMU,INDEPENDENT,332,29479,0.011262255,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,LUBEGA JAMES,DP,217,29479,0.007361172,0
Directly Elected MP,MITYANA,MITYANA COUNTY NORTH,KEEYA WATSON RONALD,INDEPENDENT,144,29479,0.004884833,0
Directly Elected MP,MITYANA,MITYANA COUNTY SOUTH,LUMU RICHARD KIZITO,DP,9252,19271,0.480099618,0
Directly Elected MP,MITYANA,MITYANA COUNTY SOUTH,MAKUMBI HENRY KAMYA,NRM,6032,19271,0.313009173,0
Directly Elected MP,MITYANA,MITYANA COUNTY SOUTH,KAZUNGU APOLLO,INDEPENDENT,3377,19271,0.175237402,0
Directly Elected MP,MITYANA,MITYANA COUNTY SOUTH,BUYONDO SULAIMAN,NUP,610,19271,0.03165378,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,ZAAKE FRANCIS,NUP,23977,35063,0.683826268,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,BUGEMBE JOHN MARY KAMYA,NRM,6590,35063,0.187947407,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,KIZZA DAVID MARTIN SSEMAMBO,INDEPENDENT,2753,35063,0.078515813,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,LUZZI ABRAHAM,DP,836,35063,0.023842797,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,KAYONDO BAGENDA JOHN EDWARD SUISSE,INDEPENDENT,453,35063,0.012919602,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,NAMULI JANAT,ANT,201,35063,0.005732539,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,KATAMBA TOM,INDEPENDENT,114,35063,0.003251291,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,MANANA GEOFREY,FDC,80,35063,0.002281607,0
Directly Elected MP,MITYANA,MITYANA MUNICIPALITY,NANZIGE GRACE,INDEPENDENT,59,35063,0.001682685,0
Directly Elected MP,MOROTO,MATHENIKO COUNTY,LOKII JOHN BAPTIST,NRM,6794,15119,0.449368358,0
Directly Elected MP,MOROTO,MATHENIKO COUNTY,OLOO PAUL,INDEPENDENT,6602,15119,0.436669081,0
Directly Elected MP,MOROTO,MATHENIKO COUNTY,ABURA SAMUEL PIRIR,INDEPENDENT,1723,15119,0.113962561,0
Directly Elected MP,MOROTO,MOROTO MUNICIPALITY,ADOME FRANCI LORIKA,NRM,1935,3846,0.503120124,0
Directly Elected MP,MOROTO,MOROTO MUNICIPALITY,ANGELLA FRED,INDEPENDENT,1911,3846,0.496879876,0
Directly Elected MP,MOROTO,TEPETH COUNTY,LOKORU ALBERT,NRM,3896,5927,0.657330871,0
Directly Elected MP,MOROTO,TEPETH COUNTY,IRIAMA MARGRARET,INDEPENDENT,1313,5927,0.221528605,0
Directly Elected MP,MOROTO,TEPETH COUNTY,LOGIT ROBERT,INDEPENDENT,718,5927,0.12114054,0
Directly Elected MP,MOROTO,TEPETH COUNTY,AKOL MICHAEL,INDEPENDENT,0,5927,0,0
Directly Elected MP,MOYO,WEST MOYO COUNTY,ALERO TOM AZA,NRM,14316,24980,0.573098481,0
Directly Elected MP,MOYO,WEST MOYO COUNTY,VUKONI JIMMY OKUDI,INDEPENDENT,7403,24980,0.296357095,0
Directly Elected MP,MOYO,WEST MOYO COUNTY,DRAIKO CHRISTOPHER VUNNI,INDEPENDENT,2701,24980,0.108126499,0
Directly Elected MP,MOYO,WEST MOYO COUNTY,MANZU ROBINSON MIKE,INDEPENDENT,560,24980,0.022417935,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY NORTH,KIYAGA HILLARY INNOCENT,NUP,31817,47333,0.672194898,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY NORTH,KYAMBADDE AMELIA ANNE,NRM,12519,47333,0.264487773,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY NORTH,TEBUSWEKE DAVID MAYINJA,DP,2666,47333,0.05632434,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY NORTH,MUGWANYA JOSEPH ZZIMULA,INDEPENDENT,331,47333,0.006993007,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY SOUTH,NSIBAMBI YUSUF,FDC,20597,38365,0.536869526,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY SOUTH,NAKAWUKI SUSAN NSAMBU,NRM,9640,38365,0.251270682,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY SOUTH,KIYINGI BBOSA KENNETH JOSEPH,INDEPENDENT,4648,38365,0.121152088,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY SOUTH,MIREMBE JOEL,NUP,2048,38365,0.053381991,0
Directly Elected MP,MPIGI,MAWOKOTA COUNTY SOUTH,WALAKIRA JOSEPH,INDEPENDENT,1432,38365,0.037325688,0
Directly Elected MP,MUBENDE,BUWEKULA COUNTY,MBABAZI PASCAL,NRM,15051,28072,0.536157012,0
Directly Elected MP,MUBENDE,BUWEKULA COUNTY,KAKOOZA JOSEPH,INDEPENDENT,7225,28072,0.257373899,0
Directly Elected MP,MUBENDE,BUWEKULA COUNTY,BAGAYA JOSEPH,FDC,3351,28072,0.119371615,0
Directly Elected MP,MUBENDE,BUWEKULA COUNTY,KYAMBADDE LAWRENCE,INDEPENDENT,1582,28072,0.056355085,0
Directly Elected MP,MUBENDE,BUWEKULA COUNTY,NANNYANZI HOPE FIRISTER,ANT,863,28072,0.030742377,0
Directly Elected MP,MUBENDE,BUWEKULA SOUTH COUNTY,MUSEVENI WILLIAM,INDEPENDENT,8075,16661,0.484664798,0
Directly Elected MP,MUBENDE,BUWEKULA SOUTH COUNTY,TUMWESIGYE FRED,NRM,7479,16661,0.448892623,0
Directly Elected MP,MUBENDE,BUWEKULA SOUTH COUNTY,AINEBYONA RONALD,NUP,1107,16661,0.066442594,0
Directly Elected MP,MUBENDE,KASAMBYA COUNTY,KABANDA DAVID,NRM,26378,47364,0.556920886,0
Directly Elected MP,MUBENDE,KASAMBYA COUNTY,KIRIGWAJJO BURUHAN SIMBWA,NUP,7784,47364,0.164344221,0
Directly Elected MP,MUBENDE,KASAMBYA COUNTY,MULINDWA PATRICK,INDEPENDENT,6035,47364,0.127417445,0
Directly Elected MP,MUBENDE,KASAMBYA COUNTY,MUTABAZI FRED,INDEPENDENT,4819,47364,0.101743944,0
Directly Elected MP,MUBENDE,KASAMBYA COUNTY,MUHUMUZA HENRY,INDEPENDENT,1972,47364,0.041634995,0
Directly Elected MP,MUBENDE,KASAMBYA COUNTY,NAKATUDDE YUDAYAH SSEBAYIGA,ANT,376,47364,0.007938519,0
Directly Elected MP,MUBENDE,MUBENDE MUNICIPALITY,LUBEGA BASHIR SSEMPA,NRM,9993,22967,0.435102552,0
Directly Elected MP,MUBENDE,MUBENDE MUNICIPALITY,KYAMANYWA BOB RICHARD,NUP,9021,22967,0.39278096,0
Directly Elected MP,MUBENDE,MUBENDE MUNICIPALITY,KIBUUKA FRANCIS B AMOOTI,INDEPENDENT,2944,22967,0.128183916,0
Directly Elected MP,MUBENDE,MUBENDE MUNICIPALITY,KIRABO JANE,INDEPENDENT,723,22967,0.031479951,0
Directly Elected MP,MUBENDE,MUBENDE MUNICIPALITY,MUSAASIZI MOSES SSEMATA,INDEPENDENT,228,22967,0.009927287,0
Directly Elected MP,MUBENDE,MUBENDE MUNICIPALITY,MUYINI RONALD,DP,58,22967,0.002525362,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,KIWANUKA ABDALLAH,NUP,18680,28134,0.663965285,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,KIBUULE RONALD,NRM,8568,28134,0.304542542,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,DRASI ISAAC,INDEPENDENT,278,28134,0.009881282,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,MUSOKE THADEUS NAGENDA,ANT,209,28134,0.007428734,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,KIKOMEKO RONALD,DP,159,28134,0.005651525,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,LUKUBIRA MOSES BAKUBI,FDC,126,28134,0.004478567,0
Directly Elected MP,MUKONO,MUKONO COUNTY NORTH,BUKENYA ARTHUR,INDEPENDENT,114,28134,0.004052037,0
Directly Elected MP,MUKONO,MUKONO COUNTY SOUTH,KAYONDO FRED,DP,26512,43647,0.607418597,0
Directly Elected MP,MUKONO,MUKONO COUNTY SOUTH,MUYANJA JOHNSON SSENYONGA,NRM,10922,43647,0.250234842,0
Directly Elected MP,MUKONO,MUKONO COUNTY SOUTH,MALE WILSON,NUP,4831,43647,0.110683441,0
Directly Elected MP,MUKONO,MUKONO COUNTY SOUTH,LUKOOYA FRANCIS MUKOOME,INDEPENDENT,722,43647,0.016541801,0
Directly Elected MP,MUKONO,MUKONO COUNTY SOUTH,LULE ANDREW,INDEPENDENT,382,43647,0.008752033,0
Directly Elected MP,MUKONO,MUKONO COUNTY SOUTH,BISASO JAMES,FDC,278,43647,0.006369281,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,BAKIREKE NAMBOOZE BETTY,NUP,38383,62194,0.617149591,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,KAGIMU GEORGE FRED,DP,16209,62194,0.260619998,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,SSOZI ABBAS,NRM,6167,62194,0.099157475,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,NANKANJA NDAGIRE HADIJA,INDEPENDENT,457,62194,0.007347976,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,MBOGO DUNSTAN EDDIE,FDC,355,62194,0.005707946,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,NINSHABA SEERAH,ANT,319,62194,0.005129112,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,BUGEMBE EDWARD BALIKUDDEMBE,INDEPENDENT,159,62194,0.002556517,0
Directly Elected MP,MUKONO,MUKONO MUNICIPALITY,ZIRIMALA K. FRED FESTO,INDEPENDENT,145,62194,0.002331414,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,SSIMBWA FRED,NUP,20072,55949,0.358755291,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,KAFEERO SSEKITOLEKO ROBERT,NRM,12564,55949,0.224561661,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,MUJUUKA PATRICK,INDEPENDENT,11545,55949,0.206348643,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,KIWANUKA SULAIMAN,INDEPENDENT,6607,55949,0.118089691,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,BASIIMA ZULIYA,INDEPENDENT,3171,55949,0.056676615,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,OLUNGI PAUL,FDC,819,55949,0.014638332,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,NTWATWA JOHN JACKSON,INDEPENDENT,358,55949,0.006398684,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,KAWOMBE LAMEKA,DP,327,55949,0.005844608,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,BATTE SIRAJE,ANT,290,55949,0.005183292,0
Directly Elected MP,MUKONO,NAKIFUMA COUNTY,KYEBATALA JOHN,INDEPENDENT,196,55949,0.00350319,0
Directly Elected MP,NABILATUK,PIAN COUNTY,ACHIA REMIGIO,NRM,,,,1
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII COUNTY (KADAM),ALEPER MOSES,NRM,8680,17279,0.502343893,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII COUNTY (KADAM),LONGOLI SIMON PETER,INDEPENDENT,6367,17279,0.368481964,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII COUNTY (KADAM),ONYANG SYLVESTER,INDEPENDENT,1723,17279,0.099716417,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII COUNTY (KADAM),LOKIRU MOSES SYLVESTER,INDEPENDENT,509,17279,0.029457724,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII EAST COUNTY,LOKERIS TEKO PETER,NRM,3173,5982,0.530424595,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII EAST COUNTY,LOSURU JOSHUA,INDEPENDENT,1689,5982,0.282347053,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII EAST COUNTY,ALEU SAMSON,INDEPENDENT,1044,5982,0.174523577,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII EAST COUNTY,KALIBBALA FRED,INDEPENDENT,76,5982,0.012704781,0
Directly Elected MP,NAKAPIRIPIRIT,CHEKWII EAST COUNTY,LOMANAT NATHAN OLUKET,INDEPENDENT,0,5982,0,0
Directly Elected MP,NAKASEKE,NAKASEKE CENTRAL COUNTY,MAYANJA ALLAN,NUP,9298,17428,0.533509314,0
Directly Elected MP,NAKASEKE,NAKASEKE CENTRAL COUNTY,BBUMBA SYDA,NRM,7042,17428,0.40406242,0
Directly Elected MP,NAKASEKE,NAKASEKE CENTRAL COUNTY,JAKANA SULAYIMAN NADDULI,INDEPENDENT,700,17428,0.040165253,0
Directly Elected MP,NAKASEKE,NAKASEKE CENTRAL COUNTY,KIYINGI GODFREY,DP,293,17428,0.016812027,0
Directly Elected MP,NAKASEKE,NAKASEKE CENTRAL COUNTY,SENFUMA CHRISTOPHER,INDEPENDENT,56,17428,0.00321322,0
Directly Elected MP,NAKASEKE,NAKASEKE CENTRAL COUNTY,SSERWANGA DENIS SETUMBA,ANT,39,17428,0.002237778,0
Directly Elected MP,NAKASEKE,NAKASEKE NORTH COUNTY,NYONGORE ENOCK,NRM,,,,1
Directly Elected MP,NAKASEKE,NAKASEKE SOUTH COUNTY,LUTTAMAGUZI SEMAKULA PAULSON KASANA,DP,26173,36295,0.721118629,0
Directly Elected MP,NAKASEKE,NAKASEKE SOUTH COUNTY,NSEREKO CHARLES KAWUMA BASAJJASSUBI,NRM,9886,36295,0.27237913,0
Directly Elected MP,NAKASEKE,NAKASEKE SOUTH COUNTY,MUKIIBI STEPHEN,FDC,236,36295,0.006502273,0
Directly Elected MP,NAKASONGOLA,BUDYEBO COUNTY,SEKYANZI BENARD KIRYA,NRM,15138,25763,0.58758682,0
Directly Elected MP,NAKASONGOLA,BUDYEBO COUNTY,SSEBBUGGA KIMEZE BERUNADO,INDEPENDENT,8948,25763,0.347319812,0
Directly Elected MP,NAKASONGOLA,BUDYEBO COUNTY,MUSOKE NATHAN,NUP,1677,25763,0.065093353,0
Directly Elected MP,NAKASONGOLA,NAKASONGOLA COUNTY,MUTEBI NOAH WANZALA,NRM,17220,29227,0.589181244,0
Directly Elected MP,NAKASONGOLA,NAKASONGOLA COUNTY,KYEYUNE IVAN,NUP,9326,29227,0.319088519,0
Directly Elected MP,NAKASONGOLA,NAKASONGOLA COUNTY,MBANGIRE FREDRICK,INDEPENDENT,2681,29227,0.091730252,0
Directly Elected MP,NAMAYINGO,BUKOOLI ISLAND COUNTY,OKEYOH PETER,NRM,6055,12083,0.501117289,0
Directly Elected MP,NAMAYINGO,BUKOOLI ISLAND COUNTY,OUMA GEORGE ABOTT,INDEPENDENT,5152,12083,0.426384181,0
Directly Elected MP,NAMAYINGO,BUKOOLI ISLAND COUNTY,JAMWA WILFRED 'B' BALIKOWA,DP,491,12083,0.040635604,0
Directly Elected MP,NAMAYINGO,BUKOOLI ISLAND COUNTY,OUMA DICKSON ODUNDO,NUP,385,12083,0.031862948,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,ADIDWA ABDU,INDEPENDENT,4496,19240,0.233679831,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,MAYENDE STEPHEN DEDE,INDEPENDENT,4450,19240,0.231288984,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,OUMA JAMES PETER,ANT,3087,19240,0.160446987,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,MWASE SALIM,FDC,2719,19240,0.141320169,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,BWIRE DAVID,INDEPENDENT,2070,19240,0.107588358,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,BALIDAWA PAUL STEVEN,NRM,1808,19240,0.093970895,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,WASIGE AKIM WAMUDANYA,NUP,317,19240,0.016476091,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,OWERE JOSEPH,INDEPENDENT,156,19240,0.008108108,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,WANDERA IBRAHIM,INDEPENDENT,100,19240,0.005197505,0
Directly Elected MP,NAMAYINGO,BUKOOLI SOUTH COUNTY,WABWIRE KENNETH,UPC,37,19240,0.001923077,0
Directly Elected MP,NAMAYINGO,NAMAYINGO SOUTH COUNTY,WANYAMA MICHEAL ODWORI,NRM,8680,27845,0.311725616,0
Directly Elected MP,NAMAYINGO,NAMAYINGO SOUTH COUNTY,OCHIENG PETER PATRICK,INDEPENDENT,5934,27845,0.213108271,0
Directly Elected MP,NAMAYINGO,NAMAYINGO SOUTH COUNTY,FIIDA ROBERT,NUP,5416,27845,0.194505304,0
Directly Elected MP,NAMAYINGO,NAMAYINGO SOUTH COUNTY,OUMA WILLY,INDEPENDENT,4695,27845,0.168611959,0
